Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0083,/Arnold,Kessler,99.89,Porter,0.108,Pryor,0.001,Sugar_Loaf,0,Magazine,0
QAc-G-0285,/CBG,Magazine,99.951,Kessler,0.031,Sugar_Loaf,0.019,Pryor,0,Porter,0
QAc-G-0287,/CBG,Magazine,90.128,Sugar_Loaf,8.81,Kessler,1.053,Pryor,0.009,Porter,0
QAc-G-0288,/CBG,Sugar_Loaf,99.855,Kessler,0.14,Magazine,0.005,Pryor,0,Porter,0
QAc-G-0292,/CBG,Magazine,83.595,Sugar_Loaf,10.486,Kessler,5.919,Pryor,0,Porter,0
QAc-G-0294,/CBG,Sugar_Loaf,91.286,Porter,7.505,Kessler,1.204,Pryor,0.005,Magazine,0
QAc-G-0295,/CBG,Kessler,91.839,Pryor,8.142,Porter,0.014,Sugar_Loaf,0.004,Magazine,0
QAc-G-0296,/CBG,Kessler,98.995,Sugar_Loaf,0.425,Porter,0.333,Magazine,0.248,Pryor,0
QAc-G-0297,/CBG,Porter,98.099,Kessler,1.812,Sugar_Loaf,0.089,Magazine,0,Pryor,0
QAc-G-0298,/CBG,Sugar_Loaf,85.58,Porter,11.105,Magazine,2.69,Kessler,0.552,Pryor,0.074
QAc-G-0299,/CBG,Sugar_Loaf,99.364,Porter,0.39,Kessler,0.148,Magazine,0.098,Pryor,0
QAc-G-0300,/CBG,Pryor,50.968,Sugar_Loaf,20.413,Magazine,16.774,Porter,11.843,Kessler,0.003
QAc-G-0301,/CBG,Porter,99.245,Kessler,0.744,Magazine,0.007,Sugar_Loaf,0.004,Pryor,0
QAc-G-0302,/CBG,Magazine,100,Porter,0,Pryor,0,Sugar_Loaf,0,Kessler,0
QAc-G-0303,/CBG,Magazine,99.999,Sugar_Loaf,0.001,Kessler,0,Pryor,0,Porter,0
QAc-G-0305,/CBG,Sugar_Loaf,99.645,Kessler,0.2,Magazine,0.108,Porter,0.047,Pryor,0
QAc-G-0307,/CBG,Sugar_Loaf,84.143,Magazine,15.672,Kessler,0.185,Pryor,0.001,Porter,0
QAc-G-0313,/CBG,Magazine,98.441,Kessler,1.421,Sugar_Loaf,0.071,Porter,0.067,Pryor,0
QAc-G-0314,/CBG,Sugar_Loaf,78.914,Pryor,20.509,Kessler,0.556,Porter,0.021,Magazine,0
QAc-G-0316,/CBG,Sugar_Loaf,95.602,Magazine,4.173,Porter,0.129,Kessler,0.052,Pryor,0.043
QAc-G-0033,/DBG,Sugar_Loaf,99.756,Porter,0.243,Kessler,0.002,Pryor,0,Magazine,0
QAc-G-0034,/DBG,Sugar_Loaf,99.437,Magazine,0.54,Porter,0.018,Pryor,0.004,Kessler,0
QAc-G-0035,/DBG,Sugar_Loaf,78.833,Kessler,20.793,Porter,0.374,Pryor,0,Magazine,0
QAc-G-0036,/DBG,Sugar_Loaf,99.999,Kessler,0.001,Porter,0,Magazine,0,Pryor,0
QAc-G-0039,/DBG,Sugar_Loaf,99.601,Pryor,0.182,Porter,0.182,Kessler,0.035,Magazine,0
QAc-G-0040,/DBG,Kessler,86.622,Sugar_Loaf,7.5,Porter,5.87,Magazine,0.006,Pryor,0.002
QAc-G-0045,/DBG,Sugar_Loaf,99.997,Kessler,0.002,Porter,0.001,Pryor,0,Magazine,0
QAc-G-0050,/DBG,Magazine,97.039,Pryor,2.605,Kessler,0.206,Sugar_Loaf,0.149,Porter,0
QAc-G-0052,/DBG,Sugar_Loaf,90.058,Pryor,9.771,Kessler,0.143,Magazine,0.027,Porter,0
QAc-G-0056,/DBG,Sugar_Loaf,54.584,Kessler,37.729,Magazine,5.05,Porter,2.634,Pryor,0.002
QAc-G-0276,/FGT,Kessler,99.176,Magazine,0.822,Sugar_Loaf,0.002,Porter,0,Pryor,0
QAc-G-0280,/FGT,Magazine,87.226,Porter,12.773,Kessler,0,Sugar_Loaf,0,Pryor,0
QAc-G-0018,/HBG,Sugar_Loaf,88.275,Magazine,6.002,Porter,5.492,Pryor,0.141,Kessler,0.09
QAc-G-0017,/HBG,Magazine,92.126,Kessler,7.793,Sugar_Loaf,0.081,Pryor,0,Porter,0
QAc-G-0250,/Meis,Magazine,57.548,Porter,37.665,Kessler,4.782,Pryor,0.005,Sugar_Loaf,0
QAc-G-0003,/MBG,Magazine,66.606,Sugar_Loaf,32.993,Kessler,0.395,Porter,0.005,Pryor,0
QAc-G-0283,/Moore,Kessler,99.77,Sugar_Loaf,0.188,Magazine,0.04,Pryor,0.002,Porter,0
QAc-G-0255,/Peckerwood,Sugar_Loaf,47.31,Kessler,26.206,Porter,13.568,Magazine,9.528,Pryor,3.387
QAc-G-0256,/Peckerwood,Magazine,99.663,Sugar_Loaf,0.333,Pryor,0.004,Porter,0,Kessler,0
QAc-G-0257,/Peckerwood,Magazine,99.794,Sugar_Loaf,0.206,Kessler,0,Pryor,0,Porter,0
QAc-G-0259,/Peckerwood,Kessler,100,Porter,0,Sugar_Loaf,0,Magazine,0,Pryor,0
QAc-G-0260,/Peckerwood,Magazine,90.041,Kessler,9.769,Sugar_Loaf,0.188,Porter,0,Pryor,0
QAc-G-0261,/Peckerwood,Kessler,91.491,Magazine,6.151,Sugar_Loaf,2.357,Pryor,0.001,Porter,0
QAc-G-0109,/TMA,Magazine,99.99,Sugar_Loaf,0.009,Kessler,0.001,Pryor,0,Porter,0
QAc-G-0113,/TMA,Magazine,99.421,Kessler,0.579,Porter,0,Sugar_Loaf,0,Pryor,0
QAc-G-0114,/TMA,Magazine,93.111,Sugar_Loaf,5.379,Kessler,1.474,Porter,0.024,Pryor,0.012
QAc-G-0117,/TMA,Sugar_Loaf,98.322,Porter,1.644,Magazine,0.034,Pryor,0,Kessler,0
QAc-G-0120,/TMA,Magazine,58.648,Sugar_Loaf,41.344,Porter,0.006,Kessler,0.003,Pryor,0
QAc-G-0125,/TMA,Magazine,92.307,Kessler,5.792,Pryor,1.901,Porter,0,Sugar_Loaf,0
QAc-G-0141,/TMA,Sugar_Loaf,99.98,Kessler,0.012,Pryor,0.006,Magazine,0.002,Porter,0
QAc-G-0143,/TMA,Sugar_Loaf,99.989,Porter,0.011,Kessler,0.001,Magazine,0,Pryor,0
QAc-G-0147,/TMA,Sugar_Loaf,99.938,Magazine,0.062,Porter,0,Pryor,0,Kessler,0
QAc-G-0174,/TMA,Magazine,99.998,Porter,0.001,Sugar_Loaf,0,Kessler,0,Pryor,0
QAc-G-0182,/TMA,Magazine,88.644,Kessler,11.356,Sugar_Loaf,0,Porter,0,Pryor,0
QAc-G-0188,/TMA,Sugar_Loaf,96.837,Kessler,3.162,Porter,0.001,Magazine,0,Pryor,0
QAc-G-0229,/TMA,Porter,82.124,Sugar_Loaf,16.428,Magazine,1.29,Kessler,0.157,Pryor,0
QAc-G-0233,/TMA,Kessler,56.373,Sugar_Loaf,21.693,Porter,21.09,Pryor,0.845,Magazine,0
QAc-G-0237,/TMA,Sugar_Loaf,52.551,Magazine,32.174,Porter,15.259,Pryor,0.016,Kessler,0.001
QAc-G-0243,/TMA,Sugar_Loaf,80.173,Kessler,19.824,Pryor,0.003,Porter,0,Magazine,0
QAc-G-0249,/TTA,Sugar_Loaf,99.999,Kessler,0.001,Pryor,0,Porter,0,Magazine,0
