Ind,Pop,Sampled From,First _Pop,Percent_1,Second_Pop,Percent_2,Third_Pop,Percent_3,Fourth_Pop,Percent_4,Fifth_Pop,Percent_5
QAc-G-0075,/Arnold,Porter,SL,94.026,Magazine,4.821,Kessler,0.595,Porter,0.558,Pryor,0
QAc-G-0076,/Arnold,Porter,Porter,99.961,Magazine,0.036,Kessler,0.003,SL,0,Pryor,0
QAc-G-0080,/Arnold,Pryor,Kessler,83.522,Pryor,11.566,Magazine,4.91,SL,0.002,Porter,0
QAc-G-0081,/Arnold,SL,Kessler,54.725,SL,39.986,Porter,5.148,Magazine,0.141,Pryor,0
QAc-G-0082,/Arnold,SL,Kessler,91.592,Magazine,8.407,SL,0.001,Pryor,0,Porter,0
QAc-G-0083,/Arnold,SL,Porter,95.306,Magazine,4.591,Kessler,0.103,Pryor,0,SL,0
QAc-G-0001,/Bartlett,,Porter,78.298,Magazine,21.626,Pryor,0.075,Kessler,0.002,SL,0
QAc-G-0285,/CBG,,Magazine,99.974,Porter,0.018,Kessler,0.007,Pryor,0.001,SL,0
QAc-G-0286,/CBG,,Kessler,63.461,Magazine,28.196,Porter,8.34,SL,0.002,Pryor,0
QAc-G-0287,/CBG,,Kessler,99.299,Magazine,0.692,Porter,0.009,Pryor,0.001,SL,0
QAc-G-0288,/CBG,,Kessler,96.079,SL,2.201,Magazine,1.435,Porter,0.285,Pryor,0
QAc-G-0292,/CBG,,Magazine,99.918,Kessler,0.074,Porter,0.008,SL,0,Pryor,0
QAc-G-0294,/CBG,,Porter,99.665,Kessler,0.326,Magazine,0.007,SL,0.002,Pryor,0
QAc-G-0295,/CBG,,Kessler,93.252,Magazine,6.743,Porter,0.005,SL,0.001,Pryor,0
QAc-G-0296,/CBG,,Kessler,99.997,Porter,0.003,SL,0,Magazine,0,Pryor,0
QAc-G-0297,/CBG,,Kessler,96.425,Porter,2.284,Magazine,1.041,Pryor,0.247,SL,0.003
QAc-G-0298,/CBG,,Magazine,89.695,Kessler,6.196,Porter,3.947,SL,0.162,Pryor,0
QAc-G-0299,/CBG,,Porter,97.442,SL,1.557,Magazine,0.651,Kessler,0.351,Pryor,0
QAc-G-0300,/CBG,,Porter,85.294,Kessler,7.905,Magazine,6.797,SL,0.004,Pryor,0
QAc-G-0301,/CBG,,Kessler,92.398,Porter,7.146,SL,0.396,Magazine,0.06,Pryor,0
QAc-G-0302,/CBG,,Porter,92.549,Magazine,6.891,SL,0.378,Kessler,0.121,Pryor,0.061
QAc-G-0303,/CBG,,Magazine,100,Pryor,0,Porter,0,Kessler,0,SL,0
QAc-G-0305,/CBG,,Magazine,73.821,Porter,19.798,SL,6.059,Kessler,0.323,Pryor,0
QAc-G-0307,/CBG,,Magazine,71.336,Kessler,16.876,Porter,11.426,SL,0.362,Pryor,0
QAc-G-0308,/CBG,,Kessler,99.879,Porter,0.112,SL,0.007,Magazine,0.002,Pryor,0
QAc-G-0309,/CBG,,Porter,46.253,Magazine,38.908,Pryor,13.025,SL,1.801,Kessler,0.013
QAc-G-0312,/CBG,,Magazine,99.609,Kessler,0.236,Porter,0.078,SL,0.076,Pryor,0
QAc-G-0313,/CBG,,Magazine,99.483,Porter,0.491,SL,0.019,Kessler,0.007,Pryor,0
QAc-G-0314,/CBG,,SL,79.003,Porter,17.01,Kessler,3.942,Pryor,0.033,Magazine,0.013
QAc-G-0315,/CBG,,Kessler,99.999,Porter,0.001,SL,0,Magazine,0,Pryor,0
QAc-G-0316,/CBG,,Kessler,71.509,Magazine,27.135,Porter,1.251,SL,0.105,Pryor,0.001
QAc-G-0032,/DBG,Magazine,Magazine,97.103,Kessler,2.897,Pryor,0,SL,0,Porter,0
QAc-G-0033,/DBG,Porter,SL,98.651,Porter,1.32,Kessler,0.029,Magazine,0.001,Pryor,0
QAc-G-0034,/DBG,Porter,SL,73.311,Magazine,24.44,Porter,2.156,Kessler,0.093,Pryor,0
QAc-G-0035,/DBG,Porter,Kessler,90.34,SL,9.233,Porter,0.426,Pryor,0,Magazine,0
QAc-G-0036,/DBG,Porter,Kessler,87.397,SL,12.6,Porter,0.003,Magazine,0,Pryor,0
QAc-G-0037,/DBG,Porter,Kessler,99.999,Porter,0.001,Magazine,0,SL,0,Pryor,0
QAc-G-0038,/DBG,Porter,Kessler,99.067,Porter,0.929,SL,0.003,Magazine,0.001,Pryor,0
QAc-G-0039,/DBG,Porter,Porter,99.695,SL,0.286,Kessler,0.019,Magazine,0,Pryor,0
QAc-G-0040,/DBG,Porter,Kessler,71.068,Porter,28.922,SL,0.009,Magazine,0.001,Pryor,0
QAc-G-0045,/DBG,Porter,Porter,98.269,Kessler,1.477,SL,0.237,Magazine,0.017,Pryor,0
QAc-G-0049,/DBG,Pryor,Magazine,97.538,Porter,2.458,SL,0.003,Pryor,0.001,Kessler,0.001
QAc-G-0050,/DBG,Pryor,Magazine,99.992,Porter,0.008,Kessler,0,Pryor,0,SL,0
QAc-G-0052,/DBG,Pryor,Magazine,92.804,Kessler,7.195,SL,0,Porter,0,Pryor,0
QAc-G-0053,/DBG,Pryor,Kessler,99.876,SL,0.123,Porter,0.001,Magazine,0,Pryor,0
QAc-G-0054,/DBG,Pryor,Kessler,99.998,SL,0.002,Porter,0,Pryor,0,Magazine,0
QAc-G-0056,/DBG,Pryor,Kessler,96.529,Porter,2.804,Magazine,0.657,SL,0.011,Pryor,0
QAc-G-0276,/FGT,Magazine,Kessler,99.449,Porter,0.549,Magazine,0.001,SL,0,Pryor,0
QAc-G-0279,/FGT,Porter,Kessler,78.706,Porter,13.671,Magazine,7.484,SL,0.138,Pryor,0
QAc-G-0280,/FGT,Porter,Kessler,68.401,Porter,30.766,Magazine,0.833,SL,0,Pryor,0
QAc-G-0281,/FGT,Pryor,Pryor,64.559,Porter,35.424,Kessler,0.012,Magazine,0.005,SL,0
QAc-G-0018,/HBG,Porter,Magazine,98.638,Porter,1.117,Kessler,0.244,SL,0,Pryor,0
QAc-G-0019,/HBG,Porter,Kessler,54.536,Magazine,41.321,Porter,3.022,SL,1.122,Pryor,0
QAc-G-0020,/HBG,Porter,Kessler,99.996,Porter,0.004,SL,0,Magazine,0,Pryor,0
QAc-G-0021,/HBG,Pryor,Porter,99.946,Kessler,0.054,Magazine,0,SL,0,Pryor,0
QAc-G-0023,/HBG,Pryor,Pryor,99.98,SL,0.012,Magazine,0.005,Porter,0.002,Kessler,0.001
QAc-G-0016,/HBG,Porter,Magazine,99.347,Kessler,0.588,SL,0.065,Porter,0.001,Pryor,0
QAc-G-0017,/HBG,Porter,Magazine,99.984,Porter,0.015,SL,0.001,Pryor,0,Kessler,0
QAc-G-0250,/Meis,,Porter,66.576,Kessler,33.422,Magazine,0.002,SL,0,Pryor,0
QAc-G-0003,/MBG,,Magazine,67.404,Porter,18.705,Kessler,13.888,SL,0.002,Pryor,0
QAc-G-0004,/MBG,,Magazine,100,Pryor,0,Kessler,0,SL,0,Porter,0
QAc-G-0005,/MBG,,Magazine,99.999,Porter,0.001,Kessler,0,SL,0,Pryor,0
QAc-G-0006,/MBG,,Magazine,99.652,Kessler,0.348,Pryor,0,Porter,0,SL,0
QAc-G-0283,/Moore,,Kessler,99.997,SL,0.003,Magazine,0,Pryor,0,Porter,0
QAc-G-0265,/MA,Pryor,SL,50.21,Magazine,47.928,Porter,1.575,Kessler,0.287,Pryor,0.001
QAc-G-0266,/MA,Pryor,Magazine,99.631,Porter,0.263,SL,0.068,Kessler,0.032,Pryor,0.006
QAc-G-0267,/MA,Magazine,Magazine,83.655,Kessler,12.641,Porter,3.704,Pryor,0,SL,0
QAc-G-0268,/MA,Magazine,Magazine,90.862,Porter,7.226,Kessler,1.912,Pryor,0,SL,0
QAc-G-0269,/MA,Magazine,Kessler,98.529,Magazine,1.464,Porter,0.007,SL,0,Pryor,0
QAc-G-0270,/MA,Porter,Kessler,55.281,Porter,26.579,SL,18.13,Magazine,0.011,Pryor,0
QAc-G-0271,/MA,Porter,Porter,99.999,SL,0.001,Magazine,0,Kessler,0,Pryor,0
QAc-G-0273,/MA,Magazine,Porter,50.853,Magazine,49.142,Pryor,0.005,SL,0,Kessler,0
QAc-G-0274,/MA,Pryor ,Magazine,88.291,Porter,11.709,Kessler,0,SL,0,Pryor,0
QAc-G-0251,/Peckerwood,Porter,SL,97.864,Kessler,1.726,Magazine,0.409,Porter,0,Pryor,0
QAc-G-0252,/Peckerwood,Porter,Kessler,98.669,Porter,0.765,SL,0.566,Magazine,0,Pryor,0
QAc-G-0253,/Peckerwood,Pryor,Kessler,89.552,Magazine,10.443,Pryor,0.004,Porter,0.002,SL,0
QAc-G-0254,/Peckerwood,Pryor,Porter,91.801,Magazine,7.214,Pryor,0.703,SL,0.175,Kessler,0.107
QAc-G-0255,/Peckerwood,Magazine,Porter,71.302,Magazine,14.829,Pryor,12.422,SL,1.188,Kessler,0.259
QAc-G-0256,/Peckerwood,Magazine,Magazine,99.988,Porter,0.011,Pryor,0.001,SL,0,Kessler,0
QAc-G-0257,/Peckerwood,Magazine,Magazine,99.999,SL,0,Kessler,0,Porter,0,Pryor,0
QAc-G-0259,/Peckerwood,Magazine,Kessler,100,SL,0,Pryor,0,Magazine,0,Porter,0
QAc-G-0260,/Peckerwood,Magazine,Kessler,99.99,Porter,0.007,Magazine,0.003,Pryor,0,SL,0
QAc-G-0261,/Peckerwood,Magazine,Magazine,99.999,Porter,0.001,Kessler,0,Pryor,0,SL,0
QAc-G-0010,/TMA,,Magazine,93.068,Kessler,6.706,Porter,0.137,SL,0.089,Pryor,0
QAc-G-0011,/TMA,,Kessler,98.565,SL,1.131,Porter,0.2,Magazine,0.085,Pryor,0.019
QAc-G-0015,/TMA,,Magazine,60.827,SL,38.887,Porter,0.281,Pryor,0.005,Kessler,0
QAc-G-0106,/TMA,,Magazine,92.514,Kessler,7.417,Porter,0.069,Pryor,0,SL,0
QAc-G-0109,/TMA,Magazine,Magazine,100,SL,0,Pryor,0,Porter,0,Kessler,0
QAc-G-0111,/TMA,Magazine,Magazine,100,Kessler,0,Pryor,0,Porter,0,SL,0
QAc-G-0114,/TMA,Magazine,Magazine,100,Kessler,0,Pryor,0,Porter,0,SL,0
QAc-G-0115,/TMA,Magazine,Magazine,99.996,Pryor,0.004,Kessler,0,Porter,0,SL,0
QAc-G-0117,/TMA,Magazine,Porter,54.989,Magazine,45.011,SL,0,Kessler,0,Pryor,0
QAc-G-0120,/TMA,Magazine,Magazine,89.584,Porter,9.395,SL,0.855,Kessler,0.167,Pryor,0
QAc-G-0121,/TMA,Magazine,Magazine,99.999,Porter,0.001,Pryor,0,Kessler,0,SL,0
QAc-G-0122,/TMA,Magazine,Porter,96.27,Magazine,3.722,Kessler,0.008,Pryor,0,SL,0
QAc-G-0125,/TMA,Magazine,Magazine,100,Pryor,0,Porter,0,Kessler,0,SL,0
QAc-G-0126,/TMA,Magazine,Magazine,99.964,Porter,0.036,Kessler,0,Pryor,0,SL,0
QAc-G-0127,/TMA,Magazine,Porter,74.458,Magazine,25.542,Kessler,0,Pryor,0,SL,0
QAc-G-0137,/TMA,Magazine,Magazine,100,Porter,0,Pryor,0,Kessler,0,SL,0
QAc-G-0141,/TMA,Magazine,Kessler,92.662,SL,6.828,Porter,0.51,Pryor,0,Magazine,0
QAc-G-0143,/TMA,Magazine,Kessler,77.559,Porter,18.382,SL,3.184,Magazine,0.839,Pryor,0.037
QAc-G-0145,/TMA,Magazine,Kessler,99.405,Porter,0.319,Magazine,0.273,SL,0.003,Pryor,0
QAc-G-0147,/TMA,Magazine,SL,99.842,Magazine,0.154,Porter,0.003,Kessler,0.001,Pryor,0
QAc-G-0148,/TMA,Magazine,Magazine,83.632,Kessler,15.145,Porter,1.222,SL,0,Pryor,0
QAc-G-0150,/TMA,Magazine,Kessler,54.261,Magazine,44.308,Porter,1.391,Pryor,0.02,SL,0.02
QAc-G-0162,/TMA,Magazine,Kessler,99.986,Porter,0.007,Magazine,0.007,SL,0,Pryor,0
QAc-G-0165,/TMA,Magazine,Magazine,92.588,Kessler,6.097,SL,1.061,Porter,0.254,Pryor,0
QAc-G-0167,/TMA,Magazine,Kessler,99.909,Porter,0.062,Magazine,0.028,SL,0,Pryor,0
QAc-G-0174,/TMA,Magazine,Magazine,96.585,Porter,3.414,Kessler,0.002,SL,0,Pryor,0
QAc-G-0188,/TMA,Magazine,Porter,38.854,SL,34.405,Kessler,26.709,Magazine,0.033,Pryor,0
QAc-G-0207,/TMA,Pryor,Magazine,95.749,Porter,4.171,Pryor,0.047,Kessler,0.033,SL,0
QAc-G-0213,/TMA,Pryor,Kessler,98.038,Pryor,1.903,Magazine,0.058,Porter,0,SL,0
QAc-G-0216,/TMA,Pryor,Magazine,99.996,Kessler,0.003,Porter,0.001,Pryor,0,SL,0
QAc-G-0217,/TMA,Pryor,SL,56.66,Pryor,43.299,Magazine,0.028,Porter,0.013,Kessler,0
QAc-G-0227,/TMA,Porter,Kessler,54.22,Magazine,44.83,Porter,0.894,SL,0.055,Pryor,0
QAc-G-0228,/TMA,Porter,Kessler,99.969,SL,0.027,Porter,0.005,Magazine,0,Pryor,0
QAc-G-0229,/TMA,Porter,Porter,99.792,Kessler,0.148,SL,0.046,Magazine,0.015,Pryor,0
QAc-G-0230,/TMA,Porter,Porter,99.713,Kessler,0.275,SL,0.007,Magazine,0.006,Pryor,0
QAc-G-0232,/TMA,Porter,Porter,95.288,Kessler,4.709,SL,0.003,Magazine,0,Pryor,0
QAc-G-0233,/TMA,Porter,Kessler,97.674,Pryor,2.323,Porter,0.002,Magazine,0.001,SL,0
QAc-G-0234,/TMA,Porter,Porter,86.518,Kessler,13.478,SL,0.003,Magazine,0,Pryor,0
QAc-G-0236,/TMA,Porter,Kessler,99.922,Magazine,0.066,Porter,0.011,SL,0.001,Pryor,0
QAc-G-0237,/TMA,Porter,Porter,53.847,SL,45.464,Kessler,0.683,Magazine,0.006,Pryor,0
QAc-G-0241,/TMA,Porter,Porter,78.958,Magazine,16.507,SL,4.511,Kessler,0.023,Pryor,0.001
QAc-G-0243,/TMA,Porter,Porter,92.631,Kessler,7.363,SL,0.003,Magazine,0.003,Pryor,0
QAc-G-0248,/TMA,,Kessler,99.9,Porter,0.076,Magazine,0.015,SL,0.01,Pryor,0
QAc-G-0249,/Trompenburg,,Porter,76.348,Kessler,12.662,SL,10.151,Magazine,0.828,Pryor,0.012
QAc-G-0025,/USNA,Magazine,Magazine,99.241,SL,0.432,Pryor,0.185,Porter,0.111,Kessler,0.032
QAc-G-0028,/USNA,Magazine,Porter,53.184,Kessler,45.749,SL,1.054,Pryor,0.013,Magazine,0
QAc-G-0275,/UWBG,,Kessler,90.24,Pryor,5.821,Magazine,3.849,Porter,0.09,SL,0
QAc-G-0263,/Plze?,,Magazine,82.504,SL,14.871,Kessler,1.889,Porter,0.737,Pryor,0
