Ind,Garden,First_Assign,Sample_Pop,First_per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0077,/Arnold,Kessler,Porter,99.434,Pryor,0.389,Magazine,0.177,Porter,0,Sugarloaf,0
QAc-G-0078,/Arnold,Kessler,Porter,99.336,Pryor,0.663,Magazine,0.001,Porter,0.001,Sugarloaf,0
QAc-G-0079,/Arnold,Kessler,Porter,99.874,Pryor,0.125,Porter,0.001,Magazine,0,Sugarloaf,0
QAc-G-0080,/Arnold,Kessler,Porter,99.989,Pryor,0.011,Sugarloaf,0,Magazine,0,Porter,0
QAc-G-0081,/Arnold,Kessler,Sugarloaf,99.998,Magazine,0.001,Porter,0.001,Sugarloaf,0,Pryor,0
QAc-G-0082,/Arnold,Kessler,Sugarloaf,100,Magazine,0,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0083,/Arnold,Kessler,Magazine,99.504,Pryor,0.494,Magazine,0.002,Porter,0,Sugarloaf,0
QAc-G-0001,/Bartlett,Pryor,NONE,46.475,Kessler,43.305,Magazine,10.196,Porter,0.024,Sugarloaf,0
QAc-G-0002,/Bartlett,Kessler,NONE,99.994,Magazine,0.006,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0285,/CBG,Kessler,NONE,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0286,/CBG,Kessler,NONE,99.998,Porter,0.001,Pryor,0.001,Magazine,0,Sugarloaf,0
QAc-G-0287,/CBG,Kessler,NONE,99.998,Pryor,0.002,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0288,/CBG,Kessler,NONE,99.998,Magazine,0.002,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0289,/CBG,Kessler,NONE,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0290,/CBG,Kessler,NONE,99.989,Pryor,0.009,Porter,0.001,Magazine,0,Sugarloaf,0
QAc-G-0291,/CBG,Kessler,NONE,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0292,/CBG,Kessler,NONE,99.627,Magazine,0.373,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0293,/CBG,Kessler,NONE,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0294,/CBG,Porter,NONE,99.718,Kessler,0.281,Magazine,0,Sugarloaf,0,Pryor,0
QAc-G-0295,/CBG,Kessler,NONE,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0296,/CBG,Kessler,NONE,100,Porter,0,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0297,/CBG,Kessler,NONE,99.998,Magazine,0.002,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0298,/CBG,Magazine,NONE,77.474,Kessler,22.475,Porter,0.039,Pryor,0.012,Sugarloaf,0
QAc-G-0299,/CBG,Kessler,NONE,97.871,Magazine,2.128,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0300,/CBG,Kessler,NONE,79.01,Porter,20.99,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0301,/CBG,Kessler,NONE,99.487,Porter,0.452,Magazine,0.049,Pryor,0.01,Sugarloaf,0.002
QAc-G-0302,/CBG,Magazine,NONE,74.244,Kessler,23.684,Porter,2.037,Pryor,0.025,Sugarloaf,0.01
QAc-G-0303,/CBG,Kessler,NONE,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0304,/CBG,Kessler,NONE,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0305,/CBG,Kessler,NONE,75.747,Magazine,24.252,Porter,0.001,Pryor,0,Sugarloaf,0
QAc-G-0306,/CBG,Kessler,NONE,99.975,Pryor,0.025,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0307,/CBG,Kessler,NONE,99.999,Magazine,0.001,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0308,/CBG,Kessler,NONE,100,Sugarloaf,0,Porter,0,Magazine,0,Pryor,0
QAc-G-0309,/CBG,Kessler,NONE,99.994,Pryor,0.006,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0310,/CBG,Kessler,NONE,99.989,Pryor,0.011,Sugarloaf,0,Magazine,0,Porter,0
QAc-G-0311,/CBG,Kessler,NONE,100,Pryor,0,Sugarloaf,0,Magazine,0,Porter,0
QAc-G-0312,/CBG,Kessler,NONE,100,Magazine,0,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0313,/CBG,Kessler,NONE,52.742,Porter,42.487,Magazine,4.77,Sugarloaf,0.001,Pryor,0
QAc-G-0314,/CBG,Kessler,NONE,97.932,Porter,1.926,Sugarloaf,0.132,Magazine,0.01,Pryor,0
QAc-G-0315,/CBG,Kessler,NONE,99.994,Porter,0.006,Sugarloaf,0,Pryor,0,Magazine,0
QAc-G-0316,/CBG,Kessler,NONE,100,Sugarloaf,0,Porter,0,Magazine,0,Pryor,0
QAc-G-0032,/DBG,Kessler,Magazine,84.897,Magazine,15.092,Pryor,0.011,Sugarloaf,0,Porter,0
QAc-G-0033,/DBG,Kessler,Porter,99.517,Magazine,0.391,Sugarloaf,0.082,Porter,0.006,Pryor,0.004
QAc-G-0034,/DBG,Kessler,Porter,99.572,Pryor,0.23,Magazine,0.181,Porter,0.009,Sugarloaf,0.008
QAc-G-0035,/DBG,Kessler,Porter,99.929,Pryor,0.07,Magazine,0.001,Porter,0,Sugarloaf,0
QAc-G-0036,/DBG,Kessler,Porter,99.977,Sugarloaf,0.022,Porter,0.001,Pryor,0,Magazine,0
QAc-G-0037,/DBG,Kessler,Porter,100,Porter,0,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0038,/DBG,Kessler,Porter,99.982,Magazine,0.018,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0039,/DBG,Kessler,Porter,99.621,Porter,0.379,Sugarloaf,0,Magazine,0,Pryor,0
QAc-G-0040,/DBG,Kessler,Porter,99.982,Magazine,0.016,Porter,0.002,Pryor,0,Sugarloaf,0
QAc-G-0041,/DBG,Kessler,Porter,100,Porter,0,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0042,/DBG,Kessler,Porter,99.994,Magazine,0.006,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0043,/DBG,Kessler,Porter,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0044,/DBG,Kessler,Porter,98.76,Magazine,1.226,Pryor,0.012,Sugarloaf,0.002,Porter,0
QAc-G-0045,/DBG,Kessler,Porter,100,Magazine,0,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0046,/DBG,Kessler,Porter,99.996,Porter,0.004,Sugarloaf,0,Magazine,0,Pryor,0
QAc-G-0047,/DBG,Kessler,Porter,99.814,Pryor,0.185,Porter,0.001,Magazine,0,Sugarloaf,0
QAc-G-0048,/DBG,Kessler,Porter,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0049,/DBG,Kessler,Pryor,98.522,Magazine,1.449,Pryor,0.029,Porter,0,Sugarloaf,0
QAc-G-0050,/DBG,Kessler,Pryor,68.253,Magazine,31.747,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0051,/DBG,Kessler,Pryor,99.977,Pryor,0.023,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0052,/DBG,Kessler,Pryor,100,Magazine,0,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0053,/DBG,Kessler,Pryor,100,Sugarloaf,0,Pryor,0,Magazine,0,Porter,0
QAc-G-0054,/DBG,Kessler,Pryor,100,Sugarloaf,0,Pryor,0,Magazine,0,Porter,0
QAc-G-0055,/DBG,Kessler,Pryor,98.587,Magazine,1.373,Sugarloaf,0.04,Pryor,0,Porter,0
QAc-G-0056,/DBG,Kessler,Pryor,100,Magazine,0,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0057,/DBG,Kessler,Pryor,99.677,Magazine,0.167,Pryor,0.156,Sugarloaf,0,Porter,0
QAc-G-0058,/DBG,Kessler,Pryor,54.898,Pryor,45.098,Magazine,0.004,Sugarloaf,0,Porter,0
QAc-G-0059,/DBG,Kessler,Pryor,100,Magazine,0,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0060,/DBG,Kessler,Pryor,98.776,Porter,1.088,Magazine,0.13,Sugarloaf,0.006,Pryor,0
QAc-G-0276,/FGT,Kessler,Magazine,100,Pryor,0,Porter,0,Sugarloaf,0,Magazine,0
QAc-G-0279,/FGT,Kessler,Porter,97.768,Magazine,2.199,Pryor,0.027,Porter,0.006,Sugarloaf,0
QAc-G-0280,/FGT,Magazine,Porter,82.887,Porter,11.478,Kessler,5.632,Pryor,0.003,Sugarloaf,0
QAc-G-0281,/FGT,Kessler,Pryor,99.999,Pryor,0.001,Sugarloaf,0,Porter,0,Magazine,0
QAc-G-0016,/HBG,Kessler,Porter,99.991,Pryor,0.006,Magazine,0.003,Sugarloaf,0,Porter,0
QAc-G-0017,/HBG,Kessler,Porter,99.983,Porter,0.008,Pryor,0.008,Magazine,0,Sugarloaf,0
QAc-G-0018,/HBG,Kessler,Porter,99.998,Porter,0.002,Magazine,0,Sugarloaf,0,Pryor,0
QAc-G-0019,/HBG,Kessler,Porter,99.964,Porter,0.036,Magazine,0,Sugarloaf,0,Pryor,0
QAc-G-0020,/HBG,Kessler,Porter,100,Porter,0,Sugarloaf,0,Pryor,0,Magazine,0
QAc-G-0021,/HBG,Kessler,Pryor,99.732,Pryor,0.268,Sugarloaf,0,Magazine,0,Porter,0
QAc-G-0022,/HBG,Kessler,Pryor,99.972,Pryor,0.023,Magazine,0.004,Porter,0,Sugarloaf,0
QAc-G-0023,/HBG,Kessler,Pryor,82.338,Magazine,17.622,Sugarloaf,0.035,Pryor,0.006,Porter,0
QAc-G-0024,/HBG,Kessler,Pryor,100,Porter,0,Sugarloaf,0,Magazine,0,Pryor,0
QAc-G-0265,/Meis,Kessler,Pryor,99.811,Porter,0.188,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0266,/MBG,Kessler,Pryor,100,Porter,0,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0267,/MBG,Kessler,Magazine,96.38,Magazine,3.62,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0268,/MBG,Kessler,Magazine,99.999,Pryor,0.001,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0269,/MBG,Kessler,Magazine,83.372,Magazine,16.628,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0270,/Moore,Kessler,Porter,100,Sugarloaf,0,Pryor,0,Magazine,0,Porter,0
QAc-G-0271,/MA,Kessler,Porter,99.979,Pryor,0.02,Sugarloaf,0.001,Porter,0,Magazine,0
QAc-G-0272,/MA,Kessler,Porter,93.641,Magazine,6.29,Pryor,0.068,Sugarloaf,0.002,Porter,0
QAc-G-0273,/MA,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0274,/MA,Kessler,Pryor,99.992,Magazine,0.005,Porter,0.002,Pryor,0.001,Sugarloaf,0
QAc-G-0003,/MA,Kessler,NONE,99.999,Magazine,0.001,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0004,/MA,Kessler,NONE,99.957,Porter,0.041,Pryor,0.003,Sugarloaf,0,Magazine,0
QAc-G-0005,/MA,Porter,NONE,98.677,Kessler,1.323,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0006,/MA,Kessler,NONE,99.472,Magazine,0.517,Sugarloaf,0.01,Pryor,0.001,Porter,0
QAc-G-0250,/MA,Kessler,NONE,99.878,Pryor,0.121,Magazine,0.001,Sugarloaf,0,Porter,0
QAc-G-0283,/MA,Pryor,NONE,77.672,Porter,21.812,Magazine,0.491,Kessler,0.026,Sugarloaf,0
QAc-G-0251,/Peckerwood,Kessler,Porter,99.754,Sugarloaf,0.218,Magazine,0.026,Porter,0.001,Pryor,0
QAc-G-0252,/Peckerwood,Kessler,Porter,99.986,Porter,0.013,Magazine,0.001,Sugarloaf,0,Pryor,0
QAc-G-0253,/Peckerwood,Kessler,Pryor,99.707,Pryor,0.29,Magazine,0.003,Sugarloaf,0,Porter,0
QAc-G-0254,/Peckerwood,Kessler,Pryor,100,Pryor,0,Magazine,0,Sugarloaf,0,Porter,0
QAc-G-0255,/Peckerwood,Kessler,Magazine,98.5,Pryor,1.256,Magazine,0.244,Sugarloaf,0,Porter,0
QAc-G-0256,/Peckerwood,Magazine,Magazine,99.993,Kessler,0.004,Porter,0.003,Pryor,0,Sugarloaf,0
QAc-G-0257,/Peckerwood,Kessler,Magazine,99.996,Magazine,0.003,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0258,/Peckerwood,Kessler,Magazine,99.85,Magazine,0.15,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0259,/Peckerwood,Kessler,Magazine,100,Porter,0,Pryor,0,Sugarloaf,0,Magazine,0
QAc-G-0260,/Peckerwood,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0261,/Peckerwood,Kessler,Magazine,99.974,Magazine,0.026,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0262,/Peckerwood,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0263,/TMA,Kessler,NONE,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0010,/TMA,Kessler,NONE,100,Porter,0,Sugarloaf,0,Pryor,0,Magazine,0
QAc-G-0011,/TMA,Kessler,NONE,99.918,Sugarloaf,0.078,Pryor,0.003,Magazine,0.001,Porter,0
QAc-G-0015,/TMA,Kessler,NONE,99.642,Magazine,0.307,Pryor,0.051,Porter,0,Sugarloaf,0
QAc-G-0106,/TMA,Kessler,Magazine,99.995,Magazine,0.003,Porter,0.002,Sugarloaf,0,Pryor,0
QAc-G-0107,/TMA,Magazine,Magazine,71.538,Porter,26.697,Kessler,1.763,Sugarloaf,0.002,Pryor,0
QAc-G-0108,/TMA,Magazine,Magazine,98.296,Kessler,1.702,Sugarloaf,0.002,Pryor,0,Porter,0
QAc-G-0109,/TMA,Magazine,Magazine,89.315,Kessler,10.569,Porter,0.065,Sugarloaf,0.05,Pryor,0.001
QAc-G-0110,/TMA,Kessler,Magazine,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0111,/TMA,Kessler,Magazine,99.997,Magazine,0.003,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0112,/TMA,Magazine,Magazine,99.871,Kessler,0.129,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0113,/TMA,Kessler,Magazine,58.144,Magazine,38.132,Pryor,3.724,Sugarloaf,0,Porter,0
QAc-G-0114,/TMA,Kessler,Magazine,78.378,Magazine,20.043,Porter,1.553,Pryor,0.026,Sugarloaf,0
QAc-G-0115,/TMA,Kessler,Magazine,99.755,Magazine,0.234,Sugarloaf,0.011,Porter,0.001,Pryor,0
QAc-G-0116,/TMA,Magazine,Magazine,80.057,Porter,18.65,Kessler,1.293,Pryor,0,Sugarloaf,0
QAc-G-0117,/TMA,Kessler,Magazine,78.648,Magazine,21.109,Pryor,0.144,Porter,0.098,Sugarloaf,0
QAc-G-0118,/TMA,Magazine,Magazine,100,Kessler,0,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0119,/TMA,Kessler,Magazine,99.929,Magazine,0.07,Sugarloaf,0.002,Porter,0,Pryor,0
QAc-G-0120,/TMA,Pryor,Magazine,92.006,Magazine,6.666,Porter,1.25,Kessler,0.079,Sugarloaf,0
QAc-G-0121,/TMA,Kessler,Magazine,99.83,Porter,0.165,Pryor,0.005,Magazine,0,Sugarloaf,0
QAc-G-0122,/TMA,Kessler,Magazine,99.996,Pryor,0.004,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0123,/TMA,Kessler,Magazine,80.069,Pryor,19.902,Porter,0.019,Magazine,0.008,Sugarloaf,0.003
QAc-G-0124,/TMA,Kessler,Magazine,97.11,Pryor,2.857,Magazine,0.033,Porter,0.001,Sugarloaf,0
QAc-G-0125,/TMA,Kessler,Magazine,93.685,Porter,6.31,Pryor,0.004,Magazine,0.001,Sugarloaf,0
QAc-G-0126,/TMA,Pryor,Magazine,84.151,Kessler,10.041,Porter,5.638,Magazine,0.17,Sugarloaf,0
QAc-G-0127,/TMA,Kessler,Magazine,99.997,Porter,0.003,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0128,/TMA,Kessler,Magazine,99.984,Pryor,0.016,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0129,/TMA,Kessler,Magazine,99.363,Pryor,0.51,Porter,0.127,Magazine,0,Sugarloaf,0
QAc-G-0130,/TMA,Kessler,Magazine,99.995,Pryor,0.003,Porter,0.002,Magazine,0,Sugarloaf,0
QAc-G-0131,/TMA,Pryor,Magazine,94.473,Porter,3.337,Kessler,1.77,Magazine,0.419,Sugarloaf,0
QAc-G-0132,/TMA,Porter,Magazine,55.467,Kessler,24.267,Pryor,20.265,Magazine,0.001,Sugarloaf,0
QAc-G-0133,/TMA,Kessler,Magazine,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0134,/TMA,Magazine,Magazine,99.754,Kessler,0.239,Porter,0.005,Pryor,0.002,Sugarloaf,0
QAc-G-0135,/TMA,Kessler,Magazine,99.987,Magazine,0.013,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0136,/TMA,Magazine,Magazine,95.363,Kessler,4.636,Pryor,0.001,Porter,0,Sugarloaf,0
QAc-G-0137,/TMA,Magazine,Magazine,82.239,Kessler,17.758,Pryor,0.003,Sugarloaf,0,Porter,0
QAc-G-0138,/TMA,Porter,Magazine,85.667,Kessler,11.225,Magazine,2.971,Pryor,0.136,Sugarloaf,0
QAc-G-0139,/TMA,Porter,Magazine,77.621,Kessler,19.468,Magazine,2.907,Pryor,0.004,Sugarloaf,0
QAc-G-0140,/TMA,Kessler,Magazine,99.992,Porter,0.005,Pryor,0.003,Magazine,0,Sugarloaf,0
QAc-G-0141,/TMA,Kessler,Magazine,99.965,Magazine,0.035,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0142,/TMA,Porter,Magazine,96.214,Kessler,3.786,Sugarloaf,0,Pryor,0,Magazine,0
QAc-G-0143,/TMA,Kessler,Magazine,99.859,Magazine,0.141,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0144,/TMA,Kessler,Magazine,99.999,Porter,0,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0145,/TMA,Kessler,Magazine,96.676,Porter,3.065,Pryor,0.258,Magazine,0.001,Sugarloaf,0
QAc-G-0146,/TMA,Magazine,Magazine,88.643,Kessler,11.319,Porter,0.037,Pryor,0.001,Sugarloaf,0
QAc-G-0147,/TMA,Kessler,Magazine,99.337,Magazine,0.661,Porter,0.002,Pryor,0,Sugarloaf,0
QAc-G-0148,/TMA,Pryor,Magazine,50.039,Kessler,39.161,Porter,10.799,Magazine,0.001,Sugarloaf,0
QAc-G-0149,/TMA,Kessler,Magazine,99.997,Pryor,0.003,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0150,/TMA,Kessler,Magazine,100,Porter,0,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0151,/TMA,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0152,/TMA,Kessler,Magazine,100,Porter,0,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0153,/TMA,Porter,Magazine,98.2,Kessler,1.3,Magazine,0.378,Pryor,0.122,Sugarloaf,0
QAc-G-0154,/TMA,Kessler,Magazine,99.98,Porter,0.018,Pryor,0.002,Magazine,0,Sugarloaf,0
QAc-G-0155,/TMA,Kessler,Magazine,96.148,Pryor,3.717,Magazine,0.131,Porter,0.004,Sugarloaf,0
QAc-G-0158,/TMA,Magazine,Magazine,62.42,Porter,20.176,Kessler,17.403,Pryor,0.001,Sugarloaf,0
QAc-G-0159,/TMA,Kessler,Magazine,100,Pryor,0,Porter,0,Sugarloaf,0,Magazine,0
QAc-G-0160,/TMA,Kessler,Magazine,100,Porter,0,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0161,/TMA,Kessler,Magazine,100,Magazine,0,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0162,/TMA,Kessler,Magazine,100,Porter,0,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0163,/TMA,Kessler,Magazine,100,Porter,0,Pryor,0,Sugarloaf,0,Magazine,0
QAc-G-0164,/TMA,Kessler,Magazine,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0165,/TMA,Kessler,Magazine,99.964,Magazine,0.035,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0166,/TMA,Kessler,Magazine,99.995,Magazine,0.003,Porter,0.002,Pryor,0,Sugarloaf,0
QAc-G-0167,/TMA,Kessler,Magazine,100,Magazine,0,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0168,/TMA,Pryor,Magazine,81.173,Porter,16.043,Kessler,2.769,Magazine,0.008,Sugarloaf,0.007
QAc-G-0169,/TMA,Kessler,Magazine,99.989,Porter,0.011,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0170,/TMA,Kessler,Magazine,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0171,/TMA,Kessler,Magazine,99.998,Magazine,0.002,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0172,/TMA,Kessler,Magazine,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0173,/TMA,Kessler,Magazine,99.89,Magazine,0.084,Porter,0.022,Pryor,0.004,Sugarloaf,0
QAc-G-0174,/TMA,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0175,/TMA,Kessler,Magazine,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0176,/TMA,Kessler,Magazine,99.994,Pryor,0.004,Porter,0.002,Sugarloaf,0,Magazine,0
QAc-G-0177,/TMA,Kessler,Magazine,99.994,Pryor,0.004,Porter,0.003,Magazine,0,Sugarloaf,0
QAc-G-0178,/TMA,Kessler,Magazine,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0179,/TMA,Kessler,Magazine,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0180,/TMA,Kessler,Magazine,100,Porter,0,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0181,/TMA,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0182,/TMA,Kessler,Magazine,99.972,Magazine,0.014,Pryor,0.014,Porter,0.001,Sugarloaf,0
QAc-G-0183,/TMA,Kessler,Magazine,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0184,/TMA,Kessler,Magazine,99.999,Magazine,0.001,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0185,/TMA,Kessler,Magazine,100,Porter,0,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0186,/TMA,Kessler,Magazine,99.987,Magazine,0.006,Sugarloaf,0.005,Pryor,0.001,Porter,0
QAc-G-0187,/TMA,Kessler,Magazine,99.999,Sugarloaf,0,Porter,0,Magazine,0,Pryor,0
QAc-G-0188,/TMA,Kessler,Magazine,99.915,Pryor,0.085,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0189,/TMA,Kessler,Magazine,99.734,Pryor,0.136,Porter,0.129,Magazine,0.001,Sugarloaf,0
QAc-G-0190,/TMA,Kessler,Magazine,99.734,Pryor,0.136,Porter,0.129,Magazine,0.001,Sugarloaf,0
QAc-G-0191,/TMA,Kessler,Magazine,99.989,Pryor,0.011,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0192,/TMA,Kessler,Magazine,100,Porter,0,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0193,/TMA,Kessler,Magazine,99.993,Porter,0.005,Pryor,0.002,Sugarloaf,0,Magazine,0
QAc-G-0194,/TMA,Kessler,Magazine,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0195,/TMA,Kessler,Magazine,99.523,Magazine,0.477,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0196,/TMA,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0197,/TMA,Kessler,Magazine,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0198,/TMA,Kessler,Magazine,100,Porter,0,Pryor,0,Magazine,0,Sugarloaf,0
QAc-G-0199,/TMA,Kessler,Magazine,99.165,Magazine,0.653,Porter,0.182,Pryor,0,Sugarloaf,0
QAc-G-0200,/TMA,Kessler,Magazine,99.847,Magazine,0.153,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0201,/TMA,Kessler,Magazine,99.243,Pryor,0.757,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0202,/TMA,Kessler,Magazine,99.999,Pryor,0.001,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0203,/TMA,Magazine,Magazine,93.579,Kessler,6.203,Porter,0.207,Pryor,0.01,Sugarloaf,0
